aa2c76bca00b2e53d9a751b73ea4cdfb5a4ca3e0	bb2a29602b353f47a9a18cb38134d4ba52e167e3	test(item8): close Creeper Overhaul provider membership
bd28ec52128ee624cfaeb7f63cecef7fe8a52abe	1d63a9b530fa3b7d8029099de73f65ea6cfbb491	test(item8): close Farmers Delight provider membership
79387e3e4c04df1254cd78a86d1e8cba2d4012a5	f6d5c0948f25c549115c4281deef575725714058	test(item8): close Coffee Delight provider membership
e42c4d5145b33c2f80261fe252411b65def71405	840f5b4a6d8dcb96c2302485e2b3cc0096e7d979	test(item8): close Ends Delight provider membership
a5ba054fa2ebf8d86a2a2e66231c7d4a51976379	b9c2e0708b399225d9dbcf416e6557a3cce679d0	test(item8): close Aethers Delight provider membership
72d1ddcca90ab09befa02a85f83446d47bcb28d0	36960f74c4e7d01a468e9ef0f234e07abda3778d	test(item8): close Ubes Delight provider membership
cebed2eaef5ddf5104d657816b7c38cd231e42a3	7f5ba72b30e3e52e928c8b0c0ae7193cb4d938e0	test(item8): close Naturalist provider membership
60016db8b933160d1f967ae18d4191ff13065712	ff4210334fb3d800d50508373edeeefd0bea3e69	test(item8): close Railways provider membership
16127c9fadd0cb389c28e4981fdca8aea5083e22	a576daece4a78db1c9c06579e610235fda3f15f3	test(item8): close Regions Unexplored provider membership
28badcf334e508dbe249496c76b778b9589846de	c07bf5fa55fca55b4a5b6334fe4d323068d6f7d0	test(item8): close Create provider membership
bbdf6f394fc3f32f2112e7548c350b5ed48e2551	6a9b96afe6ed94defe4e5d35d045d4a32d65534d	test(item8): close Fabric resource loading membership
77dc50e4db46423fa1c925d1133a5b987cbc3b50	3adcd7577c4ae156625ca3a45aa7d24f06d78afd	test(item8): close Fabric API Base membership
ff7e1047206d37e634050f85ba0e03c83de3890d	7298d80418599f0cd50d3850ae7f8c7c22e8d52e	test(item8): close Fabric v1 conventional tag membership
27f6181ec2ccd270a6c9f7fa8e89214cad4c1c83	b0b41248699cb5f41e9564236ee5722dbf25ad5f	test(item8): close Fabric v2 conventional tag membership
2e749413c44ab4acaea5c1ba2b4b9c72ff659d47	bfc7cb7650156f6522f95e43a7bc8394ed77e2fc	evidence(item8): close Fabric command and lifecycle membership
b4c5d262e65360bf727c777a2ee261f0cdc9cfa8	79e6fb88c9504ee2878ed281223c0d02b082ee2b	evidence(item8): close Fabric creative item group membership
d3be53f31293f63e368fb8a41e6afda166c5d4a6	7251f2625e00656af241636b3421f67fdb0657d3	evidence(item8): close Fabric content registry and datagen membership
4cc1096001f77ebce86ee6011a435b499d286b47	b591ea0c3aaa8d45ed9fe050c73bbe2ffb46b907	evidence(item8): close Fabric resource condition membership
f633bf87ca7509244681a0777eef93a7f4110bfb	e10e9a1ea6362f779816049b6c31ecad3a055581	evidence(item8): close Fabric object builder membership
e957cf9facb9fe8b365c28286aeb07cb908a607d	a2c1fd99a78aff6a1e4bb8caaf04401f5864f513	evidence(item8): close Fabric interaction and item membership
